state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
Illinois,Greene,22.1212,Rural,0.759,0.201,0.002,100.0,20.4
Minnesota,Lake,5.175175,Rural,0.717,0.163,0.05,100.0,16.2
Georgia,Troup,167.936,Not rural,0.235,0.747,0.0,92.0,22.3
California,Humboldt,38.15332,Not rural,0.629,0.172,0.007,93.8,13.0
Tennessee,Dickson,111.3759,Rural,0.49,0.487,0.002,100.0,19.6
Minnesota,Anoka,862.5973,Not rural,0.863,0.119,0.002,61.2,7.4
South Dakota,Bon Homme,12.45321,Rural,0.469,0.431,0.068,100.0,18.4
Tennessee,Greene,113.151,Rural,0.102,0.834,0.006,100.0,22.7
Virginia,Sussex,22.16529,Rural,0.128,0.726,0.087,100.0,25.1
Indiana,St. Joseph,595.0182,Not rural,0.836,0.152,0.002,70.6,17.5
North Dakota,Pembina,6.126762,Rural,0.612,0.249,0.101,100.0,19.7
South Dakota,Bennett,2.862468,Rural,0.53,0.374,0.004,100.0,40.7
Louisiana,Vernon,36.51994,Rural,0.173,0.802,0.003,100.0,20.6
Maine,Penobscot,44.93136,Not rural,0.196,0.111,0.582,91.1,13.8
Maryland,Talbot,140.2417,Rural,0.275,0.598,0.098,100.0,10.2
Georgia,Stephens,149.456,Rural,0.332,0.6,0.0,100.0,24.1
California,Riverside,336.9963,Not rural,0.73,0.235,0.0,86.4,10.5
Arkansas,Baxter,75.46245,Rural,0.384,0.557,0.002,100.0,20.3
Mississippi,Attala,24.27626,Rural,0.542,0.423,0.0,100.0,25.1
Iowa,Story,172.1666,Not rural,0.724,0.261,0.0,69.4,18.4
Kansas,Bourbon,22.66858,Rural,0.652,0.287,0.0,100.0,18.9
Virginia,Cumberland,32.5978,Rural,0.188,0.616,0.119,100.0,31.9
South Carolina,Sumter,158.1754,Not rural,0.128,0.852,0.007,91.6,20.3
West Virginia,Wyoming,42.51908,Rural,0.272,0.633,0.017,100.0,19.5
California,Kern,111.4836,Not rural,0.628,0.316,0.001,89.4,17.3
Texas,Cooke,47.84949,Rural,0.346,0.634,0.0,100.0,20.5
South Carolina,Orangeburg,76.06732,Rural,0.158,0.816,0.003,100.0,24.0
Wisconsin,Taylor,20.49018,Rural,0.633,0.147,0.047,100.0,21.3
Minnesota,Mower,56.35249,Not rural,0.806,0.159,0.005,78.5,14.5
Minnesota,Murray,11.59412,Rural,0.757,0.11,0.095,100.0,17.7
Rhode Island,Providence,1606.871,Not rural,0.655,0.114,0.211,74.6,13.1
Missouri,Phelps,66.75186,Not rural,0.302,0.629,0.002,81.6,16.0
Mississippi,Prentiss,60.11058,Rural,0.513,0.457,0.0,100.0,20.9
Kentucky,Whitley,83.68622,Rural,0.39,0.556,0.006,100.0,28.5
Indiana,Starke,75.39523,Rural,0.854,0.093,0.001,100.0,22.2
Texas,Williamson,553.3029,Not rural,0.501,0.49,0.001,73.2,6.0
Iowa,Mitchell,22.45468,Rural,0.832,0.139,0.009,100.0,14.9
Georgia,Emanuel,33.65834,Rural,0.148,0.832,0.004,100.0,27.2
Louisiana,Catahoula,12.56312,Rural,0.386,0.575,0.0,100.0,35.5
Pennsylvania,Carbon,170.5061,Not rural,0.187,0.295,0.414,88.5,14.2
Nebraska,Pawnee,5.922408,Rural,0.6,0.272,0.0,100.0,26.0
Tennessee,Unicoi,95.90797,Not rural,0.383,0.528,0.022,99.6,27.2
South Carolina,Spartanburg,408.3717,Not rural,0.295,0.67,0.016,95.1,15.8
Wisconsin,Marathon,89.19269,Not rural,0.734,0.154,0.035,89.0,12.9
Nevada,Elko,3.121097,Not rural,0.516,0.246,0.011,87.0,12.7
West Virginia,Braxton,24.48434,Rural,0.495,0.334,0.0,100.0,30.3
Michigan,Wexford,59.77078,Rural,0.784,0.073,0.01,100.0,20.0
Texas,Cochran,3.262879,Rural,0.692,0.302,0.0,100.0,27.0
Pennsylvania,Blair,233.4704,Not rural,0.588,0.151,0.21,85.3,15.8
Missouri,Hickory,21.19315,Rural,0.33,0.432,0.043,100.0,30.9
Missouri,Barry,44.59583,Rural,0.497,0.377,0.003,100.0,30.4
Minnesota,Ramsey,3594.118,Not rural,0.734,0.235,0.003,66.8,10.1
Arkansas,Little River,22.63321,Rural,0.33,0.611,0.0,100.0,24.9
Nevada,Lyon,29.6722,Not rural,0.757,0.161,0.009,86.8,10.9
Florida,Lee,989.5978,Not rural,0.027,0.946,0.001,79.1,12.7
Oregon,Josephine,53.69912,Not rural,0.255,0.551,0.024,86.4,14.7
Mississippi,Pike,97.99484,Rural,0.266,0.719,0.0,100.0,40.1
Tennessee,Coffee,135.3961,Not rural,0.267,0.724,0.001,88.9,24.5
Idaho,Lemhi,1.762388,Rural,0.209,0.465,0.018,100.0,17.2
Kentucky,Ohio,40.50792,Rural,0.411,0.513,0.006,100.0,22.3
Nebraska,Sarpy,803.3217,Not rural,0.749,0.244,0.0,57.1,5.8
Georgia,Colquitt,83.74823,Rural,0.109,0.871,0.003,100.0,22.9
Minnesota,Wilkin,8.593438,Rural,0.627,0.251,0.079,100.0,15.6
Illinois,Randolph,52.85842,Rural,0.598,0.372,0.004,100.0,17.3
Maine,Kennebec,142.9475,Rural,0.159,0.074,0.649,100.0,13.3
Virginia,Smyth,66.00881,Rural,0.117,0.7,0.104,100.0,22.6
New Mexico,Roosevelt,7.825675,Rural,0.321,0.578,0.0,100.0,16.8
Pennsylvania,Somerset,68.65005,Rural,0.286,0.17,0.38,100.0,23.1
Virginia,Washington,96.19682,Rural,0.125,0.808,0.028,100.0,19.6
North Carolina,Guilford,835.277,Not rural,0.436,0.539,0.011,81.0,20.7
Idaho,Ada,472.8965,Not rural,0.71,0.266,0.004,60.1,10.6
Oklahoma,Custer,28.7132,Rural,0.504,0.483,0.0,100.0,16.7
Ohio,Marion,161.8744,Not rural,0.732,0.226,0.013,81.2,14.7
Illinois,Pike,17.77347,Rural,0.624,0.341,0.0,100.0,22.7
Illinois,Woodford,72.81485,Not rural,0.808,0.17,0.0,92.2,12.4
Georgia,Richmond,635.6078,Not rural,0.392,0.595,0.002,85.6,19.8
Alabama,Pickens,21.47134,Rural,0.322,0.626,0.003,100.0,27.8
Oklahoma,Ellis,3.049185,Rural,0.64,0.313,0.0,100.0,25.1
Illinois,Perry,47.51004,Rural,0.559,0.409,0.002,100.0,18.2
Iowa,Grundy,24.61067,Rural,0.804,0.169,0.009,100.0,12.8
Colorado,Routt,10.56045,Rural,0.639,0.272,0.0,100.0,5.6
New Jersey,Somerset,1142.814,Not rural,0.82,0.118,0.049,72.3,5.3
California,Colusa,18.95489,Rural,0.517,0.366,0.009,100.0,13.5
Illinois,Johnson,38.73025,Rural,0.385,0.567,0.0,100.0,25.5
Colorado,Hinsdale,0.8154089,Rural,0.559,0.159,0.0,100.0,20.8
Idaho,Cassia,9.689316,Rural,0.294,0.623,0.028,100.0,9.9
Minnesota,Isanti,94.67862,Rural,0.815,0.107,0.012,100.0,11.6
Pennsylvania,Erie,338.5839,Not rural,0.827,0.104,0.029,74.5,13.8
Mississippi,Copiah,36.293,Rural,0.395,0.575,0.001,100.0,49.4
Texas,Van Zandt,71.27347,Rural,0.188,0.774,0.0,100.0,23.3
Virginia,Roanoke,385.7672,Not rural,0.457,0.472,0.052,69.6,10.8
Virginia,Augusta,80.0694,Rural,0.27,0.506,0.128,100.0,18.7
Utah,Piute,2.326533,Rural,0.469,0.316,0.028,100.0,25.1
Kentucky,Mason,71.07902,Rural,0.406,0.558,0.002,100.0,18.4
Minnesota,Benton,101.1519,Not rural,0.652,0.273,0.018,72.1,12.4
Texas,Donley,3.557573,Rural,0.555,0.32,0.106,100.0,30.5
Florida,Bay,238.6704,Not rural,0.101,0.88,0.0,90.7,11.3
Alabama,Lauderdale,141.2079,Not rural,0.312,0.662,0.002,87.3,23.4
Indiana,Fountain,41.6208,Rural,0.694,0.222,0.019,100.0,16.5
Illinois,Shelby,27.74126,Rural,0.766,0.191,0.0,100.0,21.6
Illinois,Fayette,29.95913,Rural,0.782,0.168,0.0,100.0,22.0
Ohio,Perry,86.90377,Rural,0.571,0.332,0.044,100.0,23.5
Virginia,Danville,993.2166,Not rural,0.362,0.597,0.027,86.2,22.8
Georgia,Banks,79.01847,Rural,0.223,0.72,0.006,100.0,26.6
Georgia,Wayne,47.1742,Rural,0.116,0.865,0.0,100.0,21.2
Oklahoma,Oklahoma,1122.62,Not rural,0.616,0.374,0.001,75.4,14.4
Oklahoma,Johnston,16.18847,Rural,0.282,0.657,0.002,100.0,31.5
North Carolina,Jackson,86.31063,Rural,0.222,0.664,0.047,100.0,24.4
Utah,Summit,22.73455,Rural,0.891,0.08,0.001,100.0,6.5
Missouri,Polk,50.15841,Rural,0.249,0.642,0.001,100.0,18.0
Nevada,Lander,1.037823,Rural,0.763,0.17,0.0,100.0,10.4
Iowa,Winneshiek,29.06456,Rural,0.783,0.141,0.015,100.0,11.9
Kentucky,Bracken,41.54635,Rural,0.34,0.591,0.019,100.0,27.0
Wisconsin,Florence,9.372488,Rural,0.797,0.036,0.03,100.0,22.8
West Virginia,Roane,29.0076,Rural,0.633,0.25,0.006,100.0,25.7
Minnesota,Wadena,26.30386,Rural,0.528,0.29,0.059,100.0,16.2
Virginia,Hopewell,2225.729,Not rural,0.24,0.714,0.019,83.4,18.3
Illinois,Winnebago,554.7045,Not rural,0.859,0.125,0.0,74.7,12.6
Arizona,Gila,11.22819,Rural,0.482,0.394,0.009,100.0,31.9
Maryland,Wicomico,277.262,Not rural,0.293,0.593,0.084,93.4,17.6
Kentucky,Carter,65.13105,Rural,0.299,0.616,0.004,100.0,34.2
North Carolina,Iredell,327.0089,Not rural,0.341,0.617,0.024,76.6,14.1
Virginia,Halifax,41.59436,Rural,0.157,0.657,0.113,100.0,35.2
North Carolina,Hertford,61.25491,Rural,0.344,0.608,0.032,100.0,30.5
New York,Montgomery,123.1026,Rural,0.538,0.113,0.252,100.0,20.7
Minnesota,Pennington,22.7,Rural,0.695,0.239,0.022,100.0,14.4
Washington,Whatcom,107.4601,Not rural,0.491,0.445,0.011,78.0,9.5
Oregon,Gilliam,1.646024,Rural,0.205,0.479,0.164,100.0,19.4
New Jersey,Ocean,1016.555,Not rural,0.795,0.149,0.044,63.2,16.3
Arkansas,Boone,63.86389,Rural,0.455,0.457,0.0,100.0,14.9
Oklahoma,Comanche,113.8824,Not rural,0.427,0.548,0.001,82.9,11.3
Texas,Jones,21.27707,Not rural,0.418,0.553,0.0,98.9,19.1
Texas,Grimes,37.38827,Rural,0.286,0.69,0.006,100.0,22.4
Michigan,Genesee,636.2895,Not rural,0.85,0.129,0.004,74.5,18.1
Louisiana,Assumption,61.23756,Rural,0.322,0.674,0.0,100.0,23.9
Mississippi,Calhoun,22.49164,Rural,0.426,0.522,0.003,100.0,29.1
Mississippi,Greene,19.18235,Rural,0.169,0.784,0.0,100.0,25.4
Montana,Custer,3.160461,Rural,0.728,0.234,0.001,100.0,16.0
South Dakota,Roberts,9.301984,Rural,0.492,0.4,0.069,100.0,23.6
Illinois,Ogle,68.11014,Rural,0.799,0.165,0.009,100.0,13.5
North Dakota,Richland,11.52629,Rural,0.441,0.466,0.057,100.0,14.0
Wisconsin,Barron,54.09052,Rural,0.738,0.152,0.022,100.0,19.7
Wisconsin,Iron,8.092759,Rural,0.764,0.087,0.047,100.0,19.4
Minnesota,Wabasha,41.03859,Rural,0.797,0.126,0.01,100.0,14.1
California,Del Norte,27.29274,Rural,0.082,0.602,0.146,100.0,16.0
Oklahoma,Pushmataha,7.77119,Rural,0.389,0.489,0.013,100.0,28.1
Washington,Chelan,27.06991,Not rural,0.032,0.937,0.001,88.0,15.2
Michigan,Presque Isle,19.86133,Rural,0.775,0.053,0.018,100.0,21.8
Oklahoma,Cleveland,547.535,Not rural,0.586,0.402,0.001,67.8,9.6
New York,Sullivan,81.31529,Rural,0.213,0.18,0.504,100.0,15.3
North Carolina,Polk,82.20056,Rural,0.221,0.641,0.058,100.0,19.0
North Carolina,Scotland,107.2318,Rural,0.191,0.784,0.008,100.0,33.4
North Carolina,Harnett,226.4422,Not rural,0.167,0.813,0.004,97.1,16.3
North Carolina,Lee,249.1943,Not rural,0.215,0.762,0.006,89.5,23.2
Indiana,Tipton,58.83147,Not rural,0.693,0.263,0.019,99.9,18.3
Kansas,Clay,12.53374,Rural,0.75,0.19,0.022,100.0,28.8
Oklahoma,Wagoner,146.408,Not rural,0.67,0.312,0.0,80.6,10.2
Montana,Richland,5.452481,Rural,0.686,0.301,0.0,100.0,15.5
Arkansas,Ashley,20.54908,Rural,0.462,0.502,0.0,100.0,33.7
Arkansas,Desha,15.22476,Rural,0.49,0.507,0.0,100.0,39.9
Tennessee,Perry,20.32959,Rural,0.363,0.573,0.0,100.0,35.9
Minnesota,Washington,698.3062,Not rural,0.833,0.148,0.005,59.1,5.6
Virginia,Portsmouth,2924.39,Not rural,0.502,0.47,0.014,83.1,15.5
Pennsylvania,Fayette,162.3973,Not rural,0.493,0.197,0.262,99.4,18.3
West Virginia,Grant,23.11405,Rural,0.17,0.458,0.152,100.0,20.4
Virginia,Shenandoah,87.26393,Rural,0.188,0.583,0.126,100.0,19.1
Texas,Irion,1.484484,Rural,0.286,0.662,0.0,100.0,26.4
Missouri,Caldwell,20.81646,Rural,0.502,0.335,0.004,100.0,25.9
Florida,Putnam,101.0552,Rural,0.103,0.87,0.001,100.0,22.6
Indiana,Crawford,34.39314,Rural,0.364,0.49,0.012,100.0,30.0
Missouri,Lewis,19.77554,Rural,0.603,0.361,0.0,100.0,19.1
Nebraska,Grant,0.8352799,Rural,0.665,0.253,0.0,100.0,16.2
Idaho,Oneida,3.813333,Rural,0.606,0.236,0.056,100.0,12.6
Illinois,Moultrie,43.25242,Rural,0.698,0.246,0.004,100.0,23.3
Kentucky,Hopkins,83.40847,Rural,0.463,0.515,0.0,100.0,23.0
Idaho,Clearwater,3.585216,Rural,0.11,0.43,0.111,100.0,21.4
Kentucky,Bell,67.54333,Rural,0.146,0.771,0.008,100.0,29.0
Minnesota,Crow Wing,66.66739,Rural,0.725,0.196,0.013,100.0,12.0
Arizona,Graham,8.31978,Rural,0.564,0.359,0.015,100.0,20.2
Arkansas,St. Francis,36.4502,Rural,0.439,0.544,0.0,100.0,38.2
Georgia,Echols,8.817643,Rural,0.064,0.925,0.0,100.0,44.7
Kansas,Lincoln,4.071472,Rural,0.779,0.19,0.0,100.0,26.8
Kansas,Smith,3.976708,Rural,0.817,0.129,0.003,100.0,14.4
Florida,Jefferson,24.17405,Rural,0.084,0.877,0.011,100.0,20.9
Mississippi,Amite,17.37159,Rural,0.291,0.678,0.001,100.0,33.5
Arkansas,Montgomery,10.96158,Rural,0.342,0.475,0.0,100.0,32.6
Michigan,Calhoun,189.7469,Not rural,0.834,0.095,0.013,81.5,15.1
Alabama,Cleburne,27.03776,Rural,0.311,0.636,0.003,100.0,29.8
Colorado,Weld,83.17941,Not rural,0.804,0.171,0.001,81.2,10.9
Oklahoma,Beckham,24.72619,Rural,0.572,0.417,0.0,100.0,19.1
California,Modoc,2.191106,Rural,0.132,0.225,0.168,100.0,21.1
Iowa,Polk,861.9469,Not rural,0.679,0.31,0.001,61.7,11.6
Georgia,Liberty,126.9211,Not rural,0.123,0.85,0.001,91.0,11.0
Texas,Navarro,52.32632,Not rural,0.323,0.664,0.0,89.7,19.8
Texas,Brooks,7.48287,Rural,0.313,0.648,0.024,100.0,28.2
Tennessee,Williamson,427.0234,Not rural,0.579,0.414,0.001,60.9,4.8
Wyoming,Laramie,37.34962,Not rural,0.764,0.208,0.0,70.0,11.1
Washington,Asotin,35.16878,Rural,0.554,0.391,0.014,100.0,13.5
Minnesota,Traverse,5.828828,Rural,0.584,0.274,0.124,100.0,22.0
Illinois,Cass,34.47735,Rural,0.736,0.213,0.005,100.0,20.4
Georgia,Rockdale,721.3219,Not rural,0.543,0.446,0.0,91.5,18.0
Pennsylvania,Juniata,60.13171,Rural,0.1,0.298,0.351,100.0,23.2
Pennsylvania,McKean,41.29758,Rural,0.833,0.079,0.019,100.0,19.5
Oklahoma,Garvin,32.17123,Rural,0.307,0.673,0.003,100.0,17.6
Nebraska,Burt,13.66396,Rural,0.676,0.254,0.027,100.0,20.1
New Mexico,San Juan,22.07592,Not rural,0.721,0.108,0.002,94.4,32.0
New York,Orleans,102.6115,Rural,0.636,0.13,0.147,100.0,15.6
Louisiana,De Soto,30.60189,Rural,0.317,0.659,0.002,100.0,25.5
California,Fresno,169.2204,Not rural,0.59,0.359,0.002,90.0,16.3
Georgia,Elbert,55.73866,Rural,0.395,0.578,0.002,100.0,35.9
Alabama,Barbour,28.10935,Rural,0.146,0.841,0.0,100.0,34.8
North Carolina,Bladen,34.06391,Rural,0.259,0.718,0.005,100.0,24.7
Texas,Dallam,4.766712,Rural,0.603,0.364,0.0,100.0,22.9
Illinois,Sangamon,225.8856,Not rural,0.776,0.215,0.0,69.9,16.3
Oklahoma,Craig,18.57983,Rural,0.418,0.452,0.0,100.0,26.5
Tennessee,Cumberland,90.34409,Rural,0.463,0.49,0.004,100.0,17.4
Michigan,Otsego,48.97221,Rural,0.759,0.108,0.007,100.0,14.0
Iowa,Sac,17.00456,Rural,0.708,0.251,0.013,100.0,14.7
Utah,Emery,2.217972,Rural,0.701,0.16,0.006,100.0,13.3
Washington,Ferry,3.295145,Rural,0.066,0.345,0.011,100.0,32.3
Montana,Wibaux,1.257909,Rural,0.884,0.116,0.0,100.0,27.6
New Mexico,Lincoln,4.185783,Rural,0.696,0.148,0.0,100.0,19.5
Oklahoma,Cherokee,63.2897,Rural,0.458,0.453,0.001,100.0,25.5
Minnesota,Yellow Medicine,12.6057,Rural,0.704,0.222,0.03,100.0,14.2
Texas,Hunt,120.8878,Not rural,0.291,0.68,0.0,92.4,16.3
Texas,Mitchell,9.820071,Rural,0.463,0.512,0.0,100.0,24.8
Texas,Wood,70.26962,Rural,0.234,0.732,0.001,100.0,17.5
Oklahoma,Osage,20.47642,Not rural,0.562,0.381,0.007,99.1,21.4
North Carolina,Cherokee,63.37081,Rural,0.203,0.683,0.038,100.0,20.6
Michigan,Mecosta,72.28258,Rural,0.786,0.087,0.027,100.0,19.2
Kentucky,Pike,74.0198,Rural,0.165,0.789,0.016,100.0,20.8
Florida,Lafayette,14.92055,Rural,0.114,0.866,0.0,100.0,17.1
North Carolina,Catawba,401.15,Not rural,0.226,0.727,0.022,92.3,13.4
Kentucky,Breathitt,27.57798,Rural,0.219,0.568,0.076,100.0,32.8
Texas,Childress,9.735671,Rural,0.646,0.334,0.0,100.0,19.1
Missouri,Ripley,17.218,Rural,0.35,0.524,0.0,100.0,28.7
Illinois,Tazewell,203.0662,Not rural,0.794,0.194,0.0,63.6,12.6
Texas,Jeff Davis,0.8796427,Rural,0.437,0.507,0.0,100.0,34.5
Virginia,Lexington,2939.294,Rural,0.628,0.367,0.0,100.0,20.4
Arkansas,Sharp,28.81378,Rural,0.348,0.577,0.002,100.0,37.3
Colorado,Larimer,138.443,Not rural,0.745,0.232,0.001,62.9,8.1
North Carolina,Tyrrell,8.672475,Rural,0.204,0.775,0.018,100.0,28.7
Minnesota,Rice,135.4292,Not rural,0.774,0.188,0.003,73.7,10.1
Missouri,Warren,83.36404,Rural,0.256,0.685,0.003,100.0,15.6
Kentucky,Warren,249.7712,Not rural,0.431,0.553,0.002,75.0,11.3
Louisiana,Caddo,268.6384,Not rural,0.43,0.561,0.001,88.3,25.6
South Dakota,Todd,6.735594,Rural,0.452,0.412,0.028,100.0,56.3
Iowa,Marshall,69.95421,Not rural,0.759,0.227,0.0,83.6,17.9
Oklahoma,Tillman,8.050425,Rural,0.622,0.35,0.001,100.0,22.6
North Carolina,Macon,71.9346,Rural,0.25,0.632,0.041,100.0,21.0
West Virginia,Monroe,26.30968,Rural,0.243,0.522,0.059,100.0,24.6
Indiana,Switzerland,44.84575,Rural,0.377,0.481,0.034,100.0,23.8
Kentucky,Hickman,18.53251,Rural,0.669,0.296,0.0,100.0,25.9
Alabama,Geneva,46.38418,Not rural,0.083,0.894,0.002,99.6,25.2
Illinois,LaSalle,96.45747,Rural,0.859,0.128,0.003,100.0,12.9
Iowa,Delaware,30.33322,Rural,0.819,0.113,0.007,100.0,15.5
Kansas,Morris,7.744382,Rural,0.76,0.146,0.004,100.0,15.7
Iowa,Davis,18.10675,Rural,0.649,0.141,0.009,100.0,40.0
Idaho,Boise,4.110961,Rural,0.149,0.429,0.011,100.0,16.8
Wisconsin,Monroe,51.29072,Rural,0.709,0.158,0.03,100.0,17.9
North Carolina,Perquimans,52.80926,Rural,0.24,0.72,0.023,100.0,20.1
Florida,Hamilton,26.23396,Rural,0.092,0.858,0.007,100.0,30.7
Indiana,Delaware,286.0323,Not rural,0.663,0.311,0.01,70.9,15.9
Florida,Levy,38.69237,Rural,0.043,0.929,0.0,100.0,27.4
Mississippi,Hancock,97.07487,Not rural,0.1,0.885,0.0,87.8,19.5
Georgia,Wilcox,23.39531,Rural,0.123,0.862,0.003,100.0,42.9
Louisiana,Red River,19.61798,Rural,0.391,0.584,0.0,100.0,26.4
Tennessee,Knox,947.0107,Not rural,0.343,0.647,0.001,64.1,13.8
Maine,Oxford,28.05835,Rural,0.12,0.057,0.61,100.0,17.8
Missouri,Jackson,1183.627,Not rural,0.732,0.256,0.001,71.3,14.7
Georgia,Towns,75.36095,Rural,0.395,0.55,0.006,100.0,19.4
Mississippi,Smith,22.49053,Rural,0.305,0.683,0.0,100.0,45.5
Idaho,Payette,62.84446,Rural,0.434,0.444,0.014,100.0,14.5
Idaho,Shoshone,5.080334,Rural,0.57,0.29,0.006,100.0,21.9
North Carolina,Hyde,7.570935,Rural,0.494,0.469,0.014,100.0,37.1
Iowa,Floyd,31.16643,Rural,0.756,0.208,0.006,100.0,18.3
Kentucky,McCracken,271.6115,Not rural,0.565,0.424,0.002,88.5,13.7
Kentucky,Union,39.35802,Rural,0.457,0.514,0.006,100.0,22.5
South Dakota,Turner,14.07796,Rural,0.551,0.377,0.035,100.0,19.0
Tennessee,Cocke,82.96972,Rural,0.201,0.716,0.012,100.0,34.0
Tennessee,Hancock,30.25317,Rural,0.088,0.752,0.0,100.0,40.6
Tennessee,Hardin,46.44953,Rural,0.488,0.46,0.001,100.0,24.0
South Carolina,Marion,59.69288,Rural,0.136,0.837,0.012,100.0,44.4
Louisiana,Washington,67.96815,Rural,0.298,0.672,0.004,100.0,26.4
Missouri,Stoddard,34.81293,Rural,0.482,0.481,0.001,100.0,18.7
Georgia,Dooly,28.61723,Rural,0.197,0.799,0.0,100.0,34.5
Minnesota,Stearns,118.1198,Not rural,0.645,0.296,0.019,75.4,12.9
Nebraska,Saunders,29.87468,Rural,0.525,0.4,0.013,100.0,12.7
Minnesota,Sherburne,225.9595,Not rural,0.817,0.153,0.007,81.9,7.2
South Dakota,Davison,45.83213,Rural,0.589,0.362,0.006,100.0,13.0
Tennessee,Claiborne,73.84191,Rural,0.09,0.827,0.013,100.0,31.2
Texas,Montague,21.69608,Rural,0.49,0.471,0.001,100.0,23.9
Texas,Brown,40.40331,Rural,0.34,0.65,0.0,100.0,18.9
Wisconsin,Racine,592.4335,Not rural,0.81,0.157,0.015,76.7,12.4
Wisconsin,Shawano,45.73092,Rural,0.75,0.092,0.04,100.0,16.4
Iowa,Audubon,12.75732,Rural,0.7,0.246,0.015,100.0,16.4
Texas,Haskell,5.988044,Rural,0.639,0.333,0.0,100.0,25.2
Oklahoma,Logan,67.11922,Not rural,0.545,0.428,0.003,89.4,15.2
New York,Oneida,190.5697,Not rural,0.648,0.154,0.144,77.9,14.2
Colorado,Lake,19.64082,Rural,0.677,0.223,0.0,100.0,17.3
Oklahoma,Pittsburg,33.51787,Rural,0.43,0.491,0.001,100.0,19.8
West Virginia,Doddridge,24.54313,Rural,0.863,0.11,0.0,100.0,25.7
West Virginia,Wirt,22.37312,Rural,0.646,0.286,0.0,100.0,20.5
New Hampshire,Carroll,54.38457,Rural,0.279,0.113,0.462,100.0,10.9
West Virginia,Tyler,32.52416,Rural,0.79,0.146,0.006,100.0,23.2
Minnesota,Le Sueur,64.16958,Rural,0.838,0.104,0.006,100.0,12.8
Washington,Douglas,23.74008,Rural,0.024,0.965,0.0,100.0,15.8
New York,Cattaraugus,58.86118,Rural,0.679,0.145,0.058,100.0,23.5
Wisconsin,Dodge,101.6696,Not rural,0.747,0.179,0.028,96.3,12.4
Iowa,Jones,36.01865,Rural,0.786,0.144,0.007,100.0,15.0
Kansas,Barber,3.598527,Rural,0.768,0.196,0.002,100.0,17.6
Missouri,Pulaski,98.1992,Rural,0.231,0.724,0.002,100.0,13.2
Alabama,Dale,88.13731,Not rural,0.114,0.87,0.001,98.0,20.0
Kansas,Logan,2.564788,Rural,0.814,0.144,0.017,100.0,12.6
California,Madera,73.58401,Not rural,0.538,0.321,0.003,97.1,16.8
Missouri,Gentry,12.65512,Rural,0.593,0.274,0.007,100.0,21.5
Nebraska,Blaine,0.5403108,Rural,0.627,0.209,0.025,100.0,11.7
Utah,Daggett,0.9159886,Rural,0.655,0.047,0.013,100.0,6.2
Wyoming,Platte,4.140365,Rural,0.732,0.14,0.01,100.0,23.8
North Carolina,Gaston,643.6308,Not rural,0.425,0.551,0.008,75.7,15.7
New Mexico,Guadalupe,1.456545,Rural,0.571,0.185,0.001,100.0,47.1
Montana,Golden Valley,0.7160965,Rural,0.625,0.104,0.093,100.0,22.5
North Carolina,Johnston,276.5622,Not rural,0.198,0.779,0.007,90.1,19.0
California,Santa Clara,1484.668,Not rural,0.622,0.348,0.001,84.3,6.3
South Carolina,Charleston,446.4112,Not rural,0.219,0.769,0.001,67.2,18.7
Washington,Benton,122.085,Not rural,0.188,0.791,0.002,71.4,12.3
Missouri,Adair,44.59357,Rural,0.475,0.492,0.001,100.0,20.8
Ohio,Erie,299.6521,Not rural,0.709,0.253,0.008,88.0,15.0
Illinois,Vermilion,82.50188,Not rural,0.662,0.322,0.0,91.0,18.2
Missouri,St. Louis,1967.94,Not rural,0.771,0.223,0.001,67.9,9.9
Illinois,Boone,190.4214,Not rural,0.874,0.111,0.001,72.4,9.1
California,Tehama,22.20446,Rural,0.484,0.287,0.02,100.0,19.8
Wisconsin,Dane,467.9447,Not rural,0.745,0.229,0.005,63.9,8.6
Texas,Fisher,4.09366,Rural,0.502,0.459,0.0,100.0,22.2
Louisiana,Sabine,25.62701,Rural,0.216,0.749,0.0,100.0,35.5
Illinois,Morgan,57.79332,Rural,0.713,0.264,0.002,100.0,18.5
Georgia,Pulaski,39.66519,Rural,0.238,0.715,0.0,100.0,26.9
North Carolina,Bertie,25.48427,Rural,0.325,0.586,0.074,100.0,36.7
North Carolina,Stanly,158.7606,Rural,0.189,0.71,0.073,100.0,13.1
Tennessee,Rhea,104.7031,Rural,0.449,0.52,0.001,100.0,23.0
North Carolina,Greene,76.50681,Rural,0.233,0.734,0.016,100.0,20.5
Kentucky,Leslie,26.11267,Rural,0.131,0.741,0.0,100.0,25.7
Maryland,Somerset,77.1606,Rural,0.209,0.591,0.127,100.0,22.2
Illinois,Marshall,30.34985,Rural,0.775,0.189,0.013,100.0,16.1
Kentucky,Lyon,40.79332,Rural,0.414,0.558,0.002,100.0,23.6
Texas,Concho,3.28842,Rural,0.45,0.544,0.005,100.0,20.6
Texas,Coke,3.625309,Rural,0.405,0.576,0.0,100.0,24.0
Tennessee,Overton,52.07992,Rural,0.242,0.66,0.004,100.0,27.1
Michigan,Huron,37.63199,Rural,0.766,0.104,0.04,100.0,21.6
Michigan,Iosco,46.10963,Rural,0.806,0.092,0.003,100.0,17.1
Georgia,Coffee,72.69936,Rural,0.05,0.935,0.0,100.0,27.6
