state_name,county_name,population_density,rural_population,gas_percentage,electricity_percentage,oil_percentage,percentage_of_underserved_population,percentage_of_population_without_broadband_or_computer
Louisiana,Tensas,6.843968,Rural,0.426,0.538,0.003,100.0,54.8
Tennessee,Monroe,73.12189,Rural,0.17,0.781,0.002,100.0,18.9
Kansas,Hamilton,2.528816,Rural,0.82,0.152,0.0,100.0,24.6
Iowa,Pocahontas,12.23233,Rural,0.748,0.224,0.009,100.0,15.4
Idaho,Gem,34.38916,Rural,0.314,0.453,0.011,100.0,13.6
Arkansas,Independence,49.63916,Rural,0.416,0.53,0.0,100.0,35.1
Arkansas,Lonoke,96.3018,Not rural,0.343,0.629,0.0,79.4,16.1
Indiana,Newton,34.4215,Rural,0.835,0.101,0.013,100.0,14.3
Georgia,Franklin,89.84386,Rural,0.242,0.715,0.009,100.0,25.0
Florida,Hendry,34.5188,Rural,0.02,0.926,0.006,100.0,28.6
Georgia,Taliaferro,8.401559,Rural,0.509,0.431,0.012,100.0,48.2
Texas,Jefferson,290.7858,Not rural,0.41,0.58,0.001,85.7,23.3
Montana,Meagher,0.8144262,Rural,0.559,0.058,0.02,100.0,30.0
Colorado,La Plata,33.13227,Rural,0.725,0.192,0.002,100.0,20.3
Texas,Bell,353.7769,Not rural,0.119,0.865,0.001,83.2,13.7
Mississippi,Kemper,11.72045,Rural,0.523,0.425,0.011,100.0,44.6
Arkansas,Clark,24.79182,Rural,0.372,0.563,0.0,100.0,28.1
Oregon,Klamath,11.68172,Not rural,0.45,0.341,0.042,80.3,15.7
New York,Oswego,124.0404,Not rural,0.615,0.147,0.112,97.0,11.6
Alabama,Cherokee,45.28981,Rural,0.327,0.645,0.0,100.0,21.5
Texas,Bandera,26.77898,Rural,0.142,0.825,0.0,100.0,14.3
Montana,Rosebud,1.6593,Rural,0.548,0.357,0.01,100.0,41.5
New Mexico,Union,1.065084,Rural,0.818,0.097,0.0,100.0,32.5
Michigan,Schoolcraft,6.879565,Rural,0.69,0.162,0.019,100.0,21.1
New York,Ulster,162.0238,Not rural,0.339,0.137,0.456,95.6,10.6
New Jersey,Camden,2360.755,Not rural,0.767,0.171,0.05,72.3,11.8
Illinois,Jersey,58.07522,Rural,0.672,0.295,0.002,100.0,18.6
Virginia,Hanover,236.3545,Not rural,0.245,0.691,0.037,72.7,9.9
Kansas,Wallace,1.629723,Rural,0.864,0.118,0.0,100.0,13.1
Michigan,Alger,9.689255,Rural,0.764,0.06,0.017,100.0,20.6
Arkansas,Fulton,19.71378,Rural,0.3,0.574,0.0,100.0,39.7
Texas,Hidalgo,555.8187,Not rural,0.089,0.898,0.0,98.0,29.4
